name,time,value
Temperatura_Sypialnia,1601136600116000000,23
Temperatura_Sypialnia,1601136900127000000,23
Temperatura_Sypialnia,1601137200136000000,23
Temperatura_Sypialnia,1601137500142000000,23
Temperatura_Sypialnia,1601137800150000000,23
Temperatura_Sypialnia,1601138100163000000,23
Temperatura_Sypialnia,1601138400170000000,23
Temperatura_Sypialnia,1601138700176000000,23
Temperatura_Sypialnia,1601139000182000000,23
Temperatura_Sypialnia,1601139300188000000,23
Temperatura_Sypialnia,1601139600195000000,23
Temperatura_Sypialnia,1601139710103000000,23.1
Temperatura_Sypialnia,1601139900202000000,23.1
Temperatura_Sypialnia,1601140200209000000,23.1
Temperatura_Sypialnia,1601140500219000000,23.1
Temperatura_Sypialnia,1601140800228000000,23.1
Temperatura_Sypialnia,1601140912094000000,23
Temperatura_Sypialnia,1601141100239000000,23
Temperatura_Sypialnia,1601141400249000000,23
Temperatura_Sypialnia,1601141700255000000,23
Temperatura_Sypialnia,1601142000260000000,23
Temperatura_Sypialnia,1601142300266000000,23
Temperatura_Sypialnia,1601142600273000000,23
Temperatura_Sypialnia,1601142900280000000,23
Temperatura_Sypialnia,1601143200285000000,23
Temperatura_Sypialnia,1601143500291000000,23
Temperatura_Sypialnia,1601143800297000000,23
Temperatura_Sypialnia,1601144100307000000,23
Temperatura_Sypialnia,1601144400312000000,23
Temperatura_Sypialnia,1601144700317000000,23
Temperatura_Sypialnia,1601145000322000000,23
Temperatura_Sypialnia,1601145300329000000,23
Temperatura_Sypialnia,1601145600335000000,23
Temperatura_Sypialnia,1601145766040000000,23.1
Temperatura_Sypialnia,1601145900341000000,23.1
Temperatura_Sypialnia,1601146200353000000,23.1
Temperatura_Sypialnia,1601146500359000000,23.1
Temperatura_Sypialnia,1601146800365000000,23.1
Temperatura_Sypialnia,1601146876528000000,23
Temperatura_Sypialnia,1601147100370000000,23
Temperatura_Sypialnia,1601147400376000000,23
Temperatura_Sypialnia,1601147700382000000,23
Temperatura_Sypialnia,1601148000388000000,23
Temperatura_Sypialnia,1601148300394000000,23
Temperatura_Sypialnia,1601148600407000000,23
Temperatura_Sypialnia,1601148900412000000,23
Temperatura_Sypialnia,1601149200418000000,23
Temperatura_Sypialnia,1601149500425000000,23
Temperatura_Sypialnia,1601149800430000000,23
